 ID,Date,Parameter/Paramètre,Value/Valeur,Qualifier/Qualificatif,Symbol/Symbole,Approval/Approbation,Grade/Classification,Qualifiers/Qualificatifs
05EA001,2026-07-27T20:45:00Z,47,32.8,,,Provisional/Provisoire,,
05EA001,2026-07-27T20:50:00Z,47,32.9,,,Provisional/Provisoire,,
05EA001,2026-07-27T20:55:00Z,47,32.6,,,Provisional/Provisoire,,
05EA001,2026-07-27T21:00:00Z,47,32.7,,,Provisional/Provisoire,,
05EA001,2026-07-27T21:05:00Z,47,32.7,,,Provisional/Provisoire,,
05EA001,2026-07-27T21:10:00Z,47,32.7,,,Provisional/Provisoire,,
05EA001,2026-07-27T21:15:00Z,47,32.7,,,Provisional/Provisoire,,
05EA001,2026-07-27T21:20:00Z,47,32.7,,,Provisional/Provisoire,,
05EA001,2026-07-27T21:25:00Z,47,32.9,,,Provisional/Provisoire,,
05EA001,2026-07-27T21:30:00Z,47,32.8,,,Provisional/Provisoire,,
05EA001,2026-07-27T21:35:00Z,47,32.7,,,Provisional/Provisoire,,
05EA001,2026-07-27T21:40:00Z,47,33.0,,,Provisional/Provisoire,,
05EA001,2026-07-27T21:45:00Z,47,32.9,,,Provisional/Provisoire,,
05EA001,2026-07-27T21:50:00Z,47,33.0,,,Provisional/Provisoire,,
05EA001,2026-07-27T21:55:00Z,47,33.0,,,Provisional/Provisoire,,
05EA001,2026-07-27T22:00:00Z,47,33.0,,,Provisional/Provisoire,,
05EA001,2026-07-27T22:05:00Z,47,32.8,,,Provisional/Provisoire,,
05EA001,2026-07-27T22:10:00Z,47,32.6,,,Provisional/Provisoire,,
05EA001,2026-07-27T22:15:00Z,47,32.6,,,Provisional/Provisoire,,
05EA001,2026-07-27T22:20:00Z,47,32.9,,,Provisional/Provisoire,,
05EA001,2026-07-27T22:25:00Z,47,32.9,,,Provisional/Provisoire,,
05EA001,2026-07-27T22:30:00Z,47,32.7,,,Provisional/Provisoire,,
05EA001,2026-07-27T22:35:00Z,47,32.6,,,Provisional/Provisoire,,
05EA001,2026-07-27T22:40:00Z,47,32.9,,,Provisional/Provisoire,,
05EA001,2026-07-27T22:45:00Z,47,32.8,,,Provisional/Provisoire,,
05EA001,2026-07-27T22:50:00Z,47,32.7,,,Provisional/Provisoire,,
05EA001,2026-07-27T22:55:00Z,47,32.8,,,Provisional/Provisoire,,
05EA001,2026-07-27T23:00:00Z,47,32.7,,,Provisional/Provisoire,,
05EA001,2026-07-27T23:05:00Z,47,32.5,,,Provisional/Provisoire,,
05EA001,2026-07-27T23:10:00Z,47,32.5,,,Provisional/Provisoire,,
05EA001,2026-07-27T23:15:00Z,47,32.7,,,Provisional/Provisoire,,
05EA001,2026-07-27T23:20:00Z,47,32.5,,,Provisional/Provisoire,,
05EA001,2026-07-27T23:25:00Z,47,32.7,,,Provisional/Provisoire,,
05EA001,2026-07-27T23:30:00Z,47,32.7,,,Provisional/Provisoire,,
05EA001,2026-07-27T23:35:00Z,47,32.6,,,Provisional/Provisoire,,
05EA001,2026-07-27T23:40:00Z,47,32.5,,,Provisional/Provisoire,,
05EA001,2026-07-27T23:45:00Z,47,32.5,,,Provisional/Provisoire,,
05EA001,2026-07-27T23:50:00Z,47,32.5,,,Provisional/Provisoire,,
05EA001,2026-07-27T23:55:00Z,47,32.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T00:00:00Z,47,32.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T00:05:00Z,47,32.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T00:10:00Z,47,32.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T00:15:00Z,47,32.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T00:20:00Z,47,32.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T00:25:00Z,47,32.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T00:30:00Z,47,32.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T00:35:00Z,47,32.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T00:40:00Z,47,32.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T00:45:00Z,47,32.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T00:50:00Z,47,32.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T00:55:00Z,47,32.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T01:00:00Z,47,32.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T01:05:00Z,47,32.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T01:10:00Z,47,32.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T01:15:00Z,47,32.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T01:20:00Z,47,32.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T01:25:00Z,47,32.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T01:30:00Z,47,32.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T01:35:00Z,47,32.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T01:40:00Z,47,32.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T01:45:00Z,47,32.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T01:50:00Z,47,32.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T01:55:00Z,47,32.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T02:00:00Z,47,32.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T02:05:00Z,47,31.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T02:10:00Z,47,31.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T02:15:00Z,47,31.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T02:20:00Z,47,31.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T02:25:00Z,47,31.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T02:30:00Z,47,31.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T02:35:00Z,47,31.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T02:40:00Z,47,31.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T02:45:00Z,47,31.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T02:50:00Z,47,31.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T02:55:00Z,47,31.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T03:00:00Z,47,31.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T03:05:00Z,47,31.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T03:10:00Z,47,31.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T03:15:00Z,47,31.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T03:20:00Z,47,31.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T03:25:00Z,47,31.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T03:30:00Z,47,31.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T03:35:00Z,47,31.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T03:40:00Z,47,31.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T03:45:00Z,47,31.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T03:50:00Z,47,31.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T03:55:00Z,47,31.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T04:00:00Z,47,31.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T04:05:00Z,47,31.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T04:10:00Z,47,31.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T04:15:00Z,47,31.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T04:20:00Z,47,31.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T04:25:00Z,47,31.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T04:30:00Z,47,31.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T04:35:00Z,47,31.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T04:40:00Z,47,31.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T04:45:00Z,47,31.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T04:50:00Z,47,31.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T04:55:00Z,47,31.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T05:00:00Z,47,31.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T05:05:00Z,47,31.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T05:10:00Z,47,31.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T05:15:00Z,47,31.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T05:20:00Z,47,31.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T05:25:00Z,47,31.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T05:30:00Z,47,31.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T05:35:00Z,47,31.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T05:40:00Z,47,31.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T05:45:00Z,47,31.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T05:50:00Z,47,31.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T05:55:00Z,47,31.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T06:00:00Z,47,31.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T06:05:00Z,47,31.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T06:10:00Z,47,31.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T06:15:00Z,47,31.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T06:20:00Z,47,31.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T06:25:00Z,47,31.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T06:30:00Z,47,31.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T06:35:00Z,47,31.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T06:40:00Z,47,31.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T06:45:00Z,47,31.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T06:50:00Z,47,30.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T06:55:00Z,47,30.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T07:00:00Z,47,31.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T07:05:00Z,47,31.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T07:10:00Z,47,30.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T07:15:00Z,47,30.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T07:20:00Z,47,30.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T07:25:00Z,47,31.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T07:30:00Z,47,30.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T07:35:00Z,47,30.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T07:40:00Z,47,30.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T07:45:00Z,47,30.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T07:50:00Z,47,30.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T07:55:00Z,47,30.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T08:00:00Z,47,30.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T08:05:00Z,47,30.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T08:10:00Z,47,30.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T08:15:00Z,47,31.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T08:20:00Z,47,30.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T08:25:00Z,47,30.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T08:30:00Z,47,30.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T08:35:00Z,47,30.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T08:40:00Z,47,30.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T08:45:00Z,47,30.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T08:50:00Z,47,30.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T08:55:00Z,47,30.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T09:00:00Z,47,30.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T09:05:00Z,47,30.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T09:10:00Z,47,30.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T09:15:00Z,47,30.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T09:20:00Z,47,30.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T09:25:00Z,47,30.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T09:30:00Z,47,30.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T09:35:00Z,47,30.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T09:40:00Z,47,30.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T09:45:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T09:50:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T09:55:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T10:00:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T10:05:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T10:10:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T10:15:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T10:20:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T10:25:00Z,47,30.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T10:30:00Z,47,30.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T10:35:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T10:40:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T10:45:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T10:50:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T10:55:00Z,47,30.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T11:00:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T11:05:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T11:10:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T11:15:00Z,47,30.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T11:20:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T11:25:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T11:30:00Z,47,30.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T11:35:00Z,47,30.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T11:40:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T11:45:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T11:50:00Z,47,30.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T11:55:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T12:00:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T12:05:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T12:10:00Z,47,30.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T12:15:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T12:20:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T12:25:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T12:30:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T12:35:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T12:40:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T12:45:00Z,47,30.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T12:50:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T12:55:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T13:00:00Z,47,30.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T13:05:00Z,47,30.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T13:10:00Z,47,30.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T13:15:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T13:20:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T13:25:00Z,47,30.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T13:30:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T13:35:00Z,47,30.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T13:40:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T13:45:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T13:50:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T13:55:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T14:00:00Z,47,30.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T14:05:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T14:10:00Z,47,30.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T14:15:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T14:20:00Z,47,30.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T14:25:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T14:30:00Z,47,30.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T14:35:00Z,47,30.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T14:40:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T14:45:00Z,47,30.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T14:50:00Z,47,30.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T14:55:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T15:00:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T15:05:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T15:10:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T15:15:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T15:20:00Z,47,30.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T15:25:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T15:30:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T15:35:00Z,47,30.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T15:40:00Z,47,30.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T15:45:00Z,47,30.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T15:50:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T15:55:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T16:00:00Z,47,30.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T16:05:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T16:10:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T16:15:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T16:20:00Z,47,30.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T16:25:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T16:30:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T16:35:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T16:40:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T16:45:00Z,47,30.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T16:50:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T16:55:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T17:00:00Z,47,30.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T17:05:00Z,47,30.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T17:10:00Z,47,30.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T17:15:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T17:20:00Z,47,30.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T17:25:00Z,47,30.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T17:30:00Z,47,30.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T17:35:00Z,47,30.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T17:40:00Z,47,30.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T17:45:00Z,47,30.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T17:50:00Z,47,30.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T17:55:00Z,47,30.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T18:00:00Z,47,30.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T18:05:00Z,47,30.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T18:10:00Z,47,30.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T18:15:00Z,47,30.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T18:20:00Z,47,29.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T18:25:00Z,47,30.1,,,Provisional/Provisoire,,
05EA001,2026-07-28T18:30:00Z,47,30.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T18:35:00Z,47,29.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T18:40:00Z,47,29.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T18:45:00Z,47,29.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T18:50:00Z,47,30.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T18:55:00Z,47,29.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T19:00:00Z,47,30.0,,,Provisional/Provisoire,,
05EA001,2026-07-28T19:05:00Z,47,29.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T19:10:00Z,47,29.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T19:15:00Z,47,29.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T19:20:00Z,47,29.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T19:25:00Z,47,29.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T19:30:00Z,47,29.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T19:35:00Z,47,29.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T19:40:00Z,47,29.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T19:45:00Z,47,29.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T19:50:00Z,47,29.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T19:55:00Z,47,29.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T20:00:00Z,47,29.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T20:05:00Z,47,29.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T20:10:00Z,47,29.9,,,Provisional/Provisoire,,
05EA001,2026-07-28T20:15:00Z,47,29.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T20:20:00Z,47,29.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T20:25:00Z,47,29.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T20:30:00Z,47,29.8,,,Provisional/Provisoire,,
05EA001,2026-07-28T20:35:00Z,47,29.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T20:40:00Z,47,29.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T20:45:00Z,47,29.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T20:50:00Z,47,29.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T20:55:00Z,47,29.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T21:00:00Z,47,29.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T21:05:00Z,47,29.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T21:10:00Z,47,29.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T21:15:00Z,47,29.7,,,Provisional/Provisoire,,
05EA001,2026-07-28T21:20:00Z,47,29.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T21:25:00Z,47,29.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T21:30:00Z,47,29.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T21:35:00Z,47,29.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T21:40:00Z,47,29.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T21:45:00Z,47,29.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T21:50:00Z,47,29.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T21:55:00Z,47,29.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T22:00:00Z,47,29.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T22:05:00Z,47,29.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T22:10:00Z,47,29.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T22:15:00Z,47,29.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T22:20:00Z,47,29.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T22:25:00Z,47,29.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T22:30:00Z,47,29.6,,,Provisional/Provisoire,,
05EA001,2026-07-28T22:35:00Z,47,29.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T22:40:00Z,47,29.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T22:45:00Z,47,29.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T22:50:00Z,47,29.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T22:55:00Z,47,29.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T23:00:00Z,47,29.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T23:05:00Z,47,29.5,,,Provisional/Provisoire,,
05EA001,2026-07-28T23:10:00Z,47,29.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T23:15:00Z,47,29.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T23:20:00Z,47,29.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T23:25:00Z,47,29.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T23:30:00Z,47,29.4,,,Provisional/Provisoire,,
05EA001,2026-07-28T23:35:00Z,47,29.3,,,Provisional/Provisoire,,
05EA001,2026-07-28T23:40:00Z,47,29.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T23:45:00Z,47,29.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T23:50:00Z,47,29.2,,,Provisional/Provisoire,,
05EA001,2026-07-28T23:55:00Z,47,29.3,,,Provisional/Provisoire,,
05EA001,2026-07-29T00:00:00Z,47,29.2,,,Provisional/Provisoire,,
05EA001,2026-07-29T00:05:00Z,47,29.3,,,Provisional/Provisoire,,
05EA001,2026-07-29T00:10:00Z,47,29.2,,,Provisional/Provisoire,,
05EA001,2026-07-29T00:15:00Z,47,29.3,,,Provisional/Provisoire,,
05EA001,2026-07-29T00:20:00Z,47,29.2,,,Provisional/Provisoire,,
05EA001,2026-07-29T00:25:00Z,47,29.2,,,Provisional/Provisoire,,
05EA001,2026-07-29T00:30:00Z,47,29.2,,,Provisional/Provisoire,,
05EA001,2026-07-29T00:35:00Z,47,29.1,,,Provisional/Provisoire,,
05EA001,2026-07-29T00:40:00Z,47,29.2,,,Provisional/Provisoire,,
05EA001,2026-07-29T00:45:00Z,47,29.0,,,Provisional/Provisoire,,
05EA001,2026-07-29T00:50:00Z,47,29.2,,,Provisional/Provisoire,,
05EA001,2026-07-29T00:55:00Z,47,29.1,,,Provisional/Provisoire,,
